symbol,security,esgScores
MMM,3M,"{'maxAge': 86400, 'totalEsg': {'raw': 33.61, 'fmt': '33.6'}, 'environmentScore': {'raw': 12.33, 'fmt': '12.3'}, 'socialScore': {'raw': 13.56, 'fmt': '13.6'}, 'governanceScore': {'raw': 7.72, 'fmt': '7.7'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 3.0, 'peerCount': 34, 'esgPerformance': 'OUT_PERF', 'peerGroup': 'Industrial Conglomerates', 'relatedControversy': ['Operations Incidents', 'Customer Incidents'], 'peerEsgScorePerformance': {'min': 20.95, 'avg': 38.665882352941175, 'max': 52.41}, 'peerGovernancePerformance': {'min': 4.31, 'avg': 9.7421875, 'max': 14.11}, 'peerSocialPerformance': {'min': 5.04, 'avg': 13.229687500000006, 'max': 19.29}, 'peerEnvironmentPerformance': {'min': 9.73, 'avg': 15.244375, 'max': 20.9}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 2.0588235294117645, 'max': 4.0}, 'percentile': {'raw': 74.68, 'fmt': '75'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
AOS,A. O. Smith,"{'maxAge': 86400, 'totalEsg': {'raw': 25.43, 'fmt': '25.4'}, 'environmentScore': {'raw': 7.29, 'fmt': '7.3'}, 'socialScore': {'raw': 11.87, 'fmt': '11.9'}, 'governanceScore': {'raw': 6.27, 'fmt': '6.3'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 0.0, 'peerCount': 44, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Machinery', 'peerEsgScorePerformance': {'min': 16.04, 'avg': 25.797500000000003, 'max': 34.75}, 'peerGovernancePerformance': {'min': 3.64, 'avg': 7.261818181818183, 'max': 10.12}, 'peerSocialPerformance': {'min': 4.89, 'avg': 11.362727272727273, 'max': 15.88}, 'peerEnvironmentPerformance': {'min': 3.13, 'avg': 7.172954545454545, 'max': 11.25}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.3636363636363635, 'max': 3.0}, 'percentile': {'raw': 46.64, 'fmt': '47'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
ABT,Abbott,"{'maxAge': 86400, 'totalEsg': {'raw': 24.98, 'fmt': '25.0'}, 'environmentScore': {'raw': 3.03, 'fmt': '3.0'}, 'socialScore': {'raw': 13.59, 'fmt': '13.6'}, 'governanceScore': {'raw': 8.36, 'fmt': '8.4'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 3.0, 'peerCount': 58, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Healthcare', 'relatedControversy': ['Customer Incidents'], 'peerEsgScorePerformance': {'min': 11.48, 'avg': 22.091551724137947, 'max': 32.9}, 'peerGovernancePerformance': {'min': 4.86, 'avg': 7.739824561403507, 'max': 10.84}, 'peerSocialPerformance': {'min': 5.59, 'avg': 12.085087719298242, 'max': 20.68}, 'peerEnvironmentPerformance': {'min': 0.01, 'avg': 2.2440350877192983, 'max': 5.39}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.9310344827586208, 'max': 4.0}, 'percentile': {'raw': 44.01, 'fmt': '44'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': True, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
ABBV,AbbVie,"{'maxAge': 86400, 'totalEsg': {'raw': 27.84, 'fmt': '27.8'}, 'environmentScore': {'raw': 1.12, 'fmt': '1.1'}, 'socialScore': {'raw': 16.77, 'fmt': '16.8'}, 'governanceScore': {'raw': 9.95, 'fmt': '9.9'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 3.0, 'peerCount': 82, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Pharmaceuticals', 'relatedControversy': ['Customer Incidents'], 'peerEsgScorePerformance': {'min': 11.2, 'avg': 25.3060975609756, 'max': 39.97}, 'peerGovernancePerformance': {'min': 4.91, 'avg': 8.814197530864194, 'max': 14.33}, 'peerSocialPerformance': {'min': 3.94, 'avg': 14.299012345679007, 'max': 21.06}, 'peerEnvironmentPerformance': {'min': 0.02, 'avg': 2.033086419753087, 'max': 5.26}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.8780487804878048, 'max': 5.0}, 'percentile': {'raw': 55.08, 'fmt': '55'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': True, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
ACN,Accenture,"{'maxAge': 86400, 'totalEsg': {'raw': 9.71, 'fmt': '9.7'}, 'environmentScore': {'raw': 0.29, 'fmt': '0.3'}, 'socialScore': {'raw': 4.58, 'fmt': '4.6'}, 'governanceScore': {'raw': 4.83, 'fmt': '4.8'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 2.0, 'peerCount': 105, 'esgPerformance': 'LAG_PERF', 'peerGroup': 'Software & Services', 'relatedControversy': ['Customer Incidents', 'Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 9.71, 'avg': 17.753523809523806, 'max': 32.54}, 'peerGovernancePerformance': {'min': 3.83, 'avg': 6.586407766990292, 'max': 11.84}, 'peerSocialPerformance': {'min': 3.87, 'avg': 9.547378640776701, 'max': 21.01}, 'peerEnvironmentPerformance': {'min': 0.01, 'avg': 1.6194174757281556, 'max': 5.45}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.4857142857142858, 'max': 4.0}, 'percentile': {'raw': 2.21, 'fmt': '2'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
ATVI,Activision Blizzard,"{'maxAge': 86400, 'totalEsg': {'raw': 18.94, 'fmt': '18.9'}, 'environmentScore': {'raw': 0.15, 'fmt': '0.2'}, 'socialScore': {'raw': 12.48, 'fmt': '12.5'}, 'governanceScore': {'raw': 6.31, 'fmt': '6.3'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 4.0, 'peerCount': 105, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Software & Services', 'relatedControversy': ['Employee Incidents'], 'peerEsgScorePerformance': {'min': 9.71, 'avg': 17.753523809523806, 'max': 32.54}, 'peerGovernancePerformance': {'min': 3.83, 'avg': 6.586407766990292, 'max': 11.84}, 'peerSocialPerformance': {'min': 3.87, 'avg': 9.547378640776701, 'max': 21.01}, 'peerEnvironmentPerformance': {'min': 0.01, 'avg': 1.6194174757281556, 'max': 5.45}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.4857142857142858, 'max': 4.0}, 'percentile': {'raw': 21.96, 'fmt': '22'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
ADM,ADM,"{'maxAge': 86400, 'totalEsg': {'raw': 36.4, 'fmt': '36.4'}, 'environmentScore': {'raw': 18.23, 'fmt': '18.2'}, 'socialScore': {'raw': 13.16, 'fmt': '13.2'}, 'governanceScore': {'raw': 5.01, 'fmt': '5.0'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 3.0, 'peerCount': 88, 'esgPerformance': 'OUT_PERF', 'peerGroup': 'Food Products', 'relatedControversy': ['Environmental Supply Chain Incidents', 'Social Supply Chain Incidents'], 'peerEsgScorePerformance': {'min': 13.55, 'avg': 27.763636363636376, 'max': 48.96}, 'peerGovernancePerformance': {'min': 3.88, 'avg': 6.332840909090908, 'max': 11.73}, 'peerSocialPerformance': {'min': 4.32, 'avg': 10.916022727272722, 'max': 20.23}, 'peerEnvironmentPerformance': {'min': 3.57, 'avg': 10.513977272727272, 'max': 22.18}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 2.102272727272727, 'max': 4.0}, 'percentile': {'raw': 82.67, 'fmt': '83'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
ADBE,Adobe Inc.,"{'maxAge': 86400, 'totalEsg': {'raw': 12.46, 'fmt': '12.5'}, 'environmentScore': {'raw': 1.89, 'fmt': '1.9'}, 'socialScore': {'raw': 5.93, 'fmt': '5.9'}, 'governanceScore': {'raw': 4.64, 'fmt': '4.6'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 1.0, 'peerCount': 105, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Software & Services', 'relatedControversy': ['Customer Incidents', 'Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 9.71, 'avg': 17.753523809523806, 'max': 32.54}, 'peerGovernancePerformance': {'min': 3.83, 'avg': 6.586407766990292, 'max': 11.84}, 'peerSocialPerformance': {'min': 3.87, 'avg': 9.547378640776701, 'max': 21.01}, 'peerEnvironmentPerformance': {'min': 0.01, 'avg': 1.6194174757281556, 'max': 5.45}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.4857142857142858, 'max': 4.0}, 'percentile': {'raw': 5.31, 'fmt': '5'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
ADP,ADP,"{'maxAge': 86400, 'totalEsg': {'raw': 13.97, 'fmt': '14.0'}, 'environmentScore': {'raw': 1.07, 'fmt': '1.1'}, 'socialScore': {'raw': 6.96, 'fmt': '7.0'}, 'governanceScore': {'raw': 5.94, 'fmt': '5.9'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 1.0, 'peerCount': 105, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Software & Services', 'relatedControversy': ['Customer Incidents'], 'peerEsgScorePerformance': {'min': 9.71, 'avg': 17.753523809523806, 'max': 32.54}, 'peerGovernancePerformance': {'min': 3.83, 'avg': 6.586407766990292, 'max': 11.84}, 'peerSocialPerformance': {'min': 3.87, 'avg': 9.547378640776701, 'max': 21.01}, 'peerEnvironmentPerformance': {'min': 0.01, 'avg': 1.6194174757281556, 'max': 5.45}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.4857142857142858, 'max': 4.0}, 'percentile': {'raw': 8.15, 'fmt': '8'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
AES,AES Corporation,"{'maxAge': 86400, 'totalEsg': {'raw': 34.15, 'fmt': '34.2'}, 'environmentScore': {'raw': 16.48, 'fmt': '16.5'}, 'socialScore': {'raw': 11.2, 'fmt': '11.2'}, 'governanceScore': {'raw': 6.47, 'fmt': '6.5'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 2.0, 'peerCount': 91, 'esgPerformance': 'OUT_PERF', 'peerGroup': 'Utilities', 'relatedControversy': ['Operations Incidents', 'Customer Incidents', 'Society & Community Incidents'], 'peerEsgScorePerformance': {'min': 8.44, 'avg': 29.322527472527483, 'max': 69.69}, 'peerGovernancePerformance': {'min': 3.36, 'avg': 6.387906976744186, 'max': 9.93}, 'peerSocialPerformance': {'min': 2.71, 'avg': 10.069767441860462, 'max': 34.78}, 'peerEnvironmentPerformance': {'min': 1.27, 'avg': 12.562209302325577, 'max': 28.57}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.6373626373626373, 'max': 5.0}, 'percentile': {'raw': 78.0, 'fmt': '78'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
